parameter,n,bits_security,nist_level,data_encryption_time_s,query_encryption_time_s,data_decryption_time_s,query_execution_latency_s,query_throughput_per_s,overall_model_throughput_per_s,overall_model_latency_s,false_trust_acceptance_rate,num_data,num_queries,num_malicious,malicious_accepted
PARA.512,512,143,1,0.078093699994497,0.01850743999821134,0.00013990001752972603,0.018626249994849787,53.687671983169075,56.711611257174354,0.2644960999605246,0.0,5,10,5,0
PARA.768,768,207,3,0.20965229999274015,0.03485088999150321,0.0001569000305607915,0.03499815998366103,28.57293070455282,26.795724409464714,0.5597907998599112,0.0,5,10,5,0
PARA.1024,1024,272,5,0.40523110004141927,0.09960658999625593,0.00042339996434748173,0.10026786999078469,9.973284563558666,10.650888582985967,1.4083331999136135,0.0,5,10,5,0
